id,x,y,z,side,classification,synthetic,coordinate_unit
P0067,-5.59,-0.675,2.103,port,sample,true,fictional_unit
P0068,-5.597,0.679,2.102,starboard,sample,true,fictional_unit
P0069,-5.193,-0.988,-2.093,port,sample,true,fictional_unit
P0070,-5.191,0.988,-2.11,starboard,sample,true,fictional_unit
P0071,-5.198,-1.126,-1.848,port,sample,true,fictional_unit
P0072,-5.203,1.114,-1.837,starboard,sample,true,fictional_unit
P0073,-5.208,-1.227,-1.581,port,sample,true,fictional_unit
P0074,-5.203,1.22,-1.586,starboard,sample,true,fictional_unit
P0075,-5.206,-1.306,-1.318,port,sample,true,fictional_unit
P0076,-5.198,1.303,-1.308,starboard,sample,true,fictional_unit
P0077,-5.21,-1.348,-1.055,port,sample,true,fictional_unit
P0078,-5.203,1.366,-1.039,starboard,sample,true,fictional_unit
P0079,-5.198,-1.405,-0.793,port,sample,true,fictional_unit
P0080,-5.194,1.401,-0.783,starboard,sample,true,fictional_unit
P0081,-5.201,-1.429,-0.52,port,sample,true,fictional_unit
P0082,-5.199,1.434,-0.535,starboard,sample,true,fictional_unit
P0083,-5.209,-1.441,-0.256,port,sample,true,fictional_unit
P0084,-5.202,1.436,-0.271,starboard,sample,true,fictional_unit
P0085,-5.191,-1.447,0.001,port,sample,true,fictional_unit
P0086,-5.202,1.445,-0.003,starboard,sample,true,fictional_unit
P0087,-5.186,-1.434,0.264,port,sample,true,fictional_unit
P0088,-5.191,1.424,0.273,starboard,sample,true,fictional_unit
P0089,-5.208,-1.403,0.518,port,sample,true,fictional_unit
P0090,-5.209,1.412,0.524,starboard,sample,true,fictional_unit
P0091,-5.201,-1.362,0.798,port,sample,true,fictional_unit
P0092,-5.198,1.371,0.787,starboard,sample,true,fictional_unit
P0093,-5.211,-1.296,1.059,port,sample,true,fictional_unit
P0094,-5.19,1.309,1.06,starboard,sample,true,fictional_unit
P0095,-5.191,-1.232,1.307,port,sample,true,fictional_unit
P0096,-5.201,1.232,1.304,starboard,sample,true,fictional_unit
P0097,-5.201,-1.134,1.57,port,sample,true,fictional_unit
P0098,-5.208,1.122,1.58,starboard,sample,true,fictional_unit
P0099,-5.2,-1,1.838,port,sample,true,fictional_unit
P0100,-5.207,0.994,1.83,starboard,sample,true,fictional_unit
P0101,-5.209,-0.817,2.096,port,sample,true,fictional_unit
P0102,-5.187,0.824,2.108,starboard,sample,true,fictional_unit
P0103,-4.788,-1.129,-2.096,port,sample,true,fictional_unit
P0104,-4.799,1.116,-2.106,starboard,sample,true,fictional_unit
P0105,-4.794,-1.277,-1.838,port,sample,true,fictional_unit
P0106,-4.797,1.267,-1.835,starboard,sample,true,fictional_unit
P0107,-4.804,-1.382,-1.587,port,sample,true,fictional_unit
P0108,-4.791,1.397,-1.585,starboard,sample,true,fictional_unit
P0109,-4.813,-1.472,-1.324,port,sample,true,fictional_unit
P0110,-4.809,1.47,-1.321,starboard,sample,true,fictional_unit
P0111,-4.798,-1.554,-1.052,port,sample,true,fictional_unit
P0112,-4.806,1.558,-1.06,starboard,sample,true,fictional_unit
P0113,-4.788,-1.605,-0.787,port,sample,true,fictional_unit
P0114,-4.812,1.594,-0.783,starboard,sample,true,fictional_unit
P0115,-4.788,-1.641,-0.524,port,sample,true,fictional_unit
P0116,-4.797,1.626,-0.537,starboard,sample,true,fictional_unit
P0117,-4.809,-1.655,-0.259,port,sample,true,fictional_unit
P0118,-4.8,1.648,-0.266,starboard,sample,true,fictional_unit
P0119,-4.807,-1.644,-0.004,port,sample,true,fictional_unit
P0120,-4.793,1.654,-0.009,starboard,sample,true,fictional_unit
P0121,-4.804,-1.642,0.265,port,sample,true,fictional_unit
P0122,-4.804,1.641,0.266,starboard,sample,true,fictional_unit
P0123,-4.803,-1.598,0.519,port,sample,true,fictional_unit
P0124,-4.809,1.609,0.525,starboard,sample,true,fictional_unit
P0125,-4.808,-1.546,0.797,port,sample,true,fictional_unit
P0126,-4.802,1.557,0.784,starboard,sample,true,fictional_unit
P0127,-4.804,-1.495,1.059,port,sample,true,fictional_unit
P0128,-4.793,1.489,1.053,starboard,sample,true,fictional_unit
P0129,-4.798,-1.389,1.323,port,sample,true,fictional_unit
P0130,-4.791,1.408,1.322,starboard,sample,true,fictional_unit
P0131,-4.809,-1.282,1.571,port,sample,true,fictional_unit
P0132,-4.811,1.285,1.565,starboard,sample,true,fictional_unit
P0133,-4.796,-1.137,1.827,port,sample,true,fictional_unit
P0134,-4.8,1.139,1.849,starboard,sample,true,fictional_unit
P0135,-4.812,-0.946,2.101,port,sample,true,fictional_unit
P0136,-4.812,0.941,2.111,starboard,sample,true,fictional_unit
P0137,-4.396,-1.242,-2.098,port,sample,true,fictional_unit
P0138,-4.401,1.232,-2.105,starboard,sample,true,fictional_unit
P0139,-4.392,-1.411,-1.837,port,sample,true,fictional_unit
P0140,-4.399,1.406,-1.832,starboard,sample,true,fictional_unit
P0141,-4.393,-1.539,-1.565,port,sample,true,fictional_unit
P0142,-4.388,1.539,-1.586,starboard,sample,true,fictional_unit
P0143,-4.388,-1.623,-1.31,port,sample,true,fictional_unit
P0144,-4.391,1.64,-1.324,starboard,sample,true,fictional_unit
P0145,-4.413,-1.704,-1.041,port,sample,true,fictional_unit
P0146,-4.404,1.708,-1.06,starboard,sample,true,fictional_unit
P0147,-4.41,-1.77,-0.795,port,sample,true,fictional_unit
P0148,-4.41,1.761,-0.781,starboard,sample,true,fictional_unit
P0149,-4.402,-1.796,-0.532,port,sample,true,fictional_unit
P0150,-4.413,1.801,-0.535,starboard,sample,true,fictional_unit
P0151,-4.4,-1.813,-0.263,port,sample,true,fictional_unit
P0152,-4.398,1.813,-0.258,starboard,sample,true,fictional_unit
P0153,-4.388,-1.823,0.004,port,sample,true,fictional_unit
P0154,-4.399,1.808,0.005,starboard,sample,true,fictional_unit
P0155,-4.397,-1.792,0.253,port,sample,true,fictional_unit
P0156,-4.408,1.807,0.273,starboard,sample,true,fictional_unit
P0157,-4.409,-1.773,0.521,port,sample,true,fictional_unit
P0158,-4.404,1.769,0.514,starboard,sample,true,fictional_unit
P0159,-4.408,-1.718,0.785,port,sample,true,fictional_unit
P0160,-4.387,1.707,0.78,starboard,sample,true,fictional_unit
P0161,-4.392,-1.639,1.039,port,sample,true,fictional_unit
P0162,-4.397,1.628,1.05,starboard,sample,true,fictional_unit
P0163,-4.406,-1.55,1.302,port,sample,true,fictional_unit
P0164,-4.41,1.538,1.309,starboard,sample,true,fictional_unit
P0165,-4.403,-1.421,1.584,port,sample,true,fictional_unit
P0166,-4.403,1.419,1.577,starboard,sample,true,fictional_unit
P0167,-4.407,-1.25,1.84,port,sample,true,fictional_unit
P0168,-4.394,1.249,1.843,starboard,sample,true,fictional_unit
P0169,-4.409,-1.031,2.101,port,sample,true,fictional_unit
P0170,-4.399,1.026,2.094,starboard,sample,true,fictional_unit
P0171,-4.005,-1.323,-2.103,port,sample,true,fictional_unit
P0172,-3.986,1.324,-2.108,starboard,sample,true,fictional_unit
P0173,-4.004,-1.502,-1.833,port,sample,true,fictional_unit
P0174,-4.004,1.503,-1.839,starboard,sample,true,fictional_unit
P0175,-3.995,-1.646,-1.586,port,sample,true,fictional_unit
P0176,-3.99,1.648,-1.574,starboard,sample,true,fictional_unit
P0177,-4.008,-1.747,-1.322,port,sample,true,fictional_unit
P0178,-4.011,1.756,-1.323,starboard,sample,true,fictional_unit
P0179,-4.01,-1.837,-1.04,port,sample,true,fictional_unit
P0180,-4.009,1.839,-1.058,starboard,sample,true,fictional_unit
P0181,-4.001,-1.893,-0.797,port,sample,true,fictional_unit
P0182,-3.992,1.89,-0.787,starboard,sample,true,fictional_unit
P0183,-3.995,-1.925,-0.521,port,sample,true,fictional_unit
P0184,-3.994,1.931,-0.519,starboard,sample,true,fictional_unit
P0185,-3.998,-1.954,-0.258,port,sample,true,fictional_unit
P0186,-4.012,1.956,-0.265,starboard,sample,true,fictional_unit
P0187,-4.007,-1.957,-0.002,port,sample,true,fictional_unit
P0188,-4.011,1.953,0.012,starboard,sample,true,fictional_unit
P0189,-3.987,-1.928,0.252,port,sample,true,fictional_unit
P0190,-3.99,1.93,0.264,starboard,sample,true,fictional_unit
P0191,-3.987,-1.907,0.524,port,sample,true,fictional_unit
P0192,-3.997,1.905,0.524,starboard,sample,true,fictional_unit
P0193,-4.002,-1.853,0.793,port,sample,true,fictional_unit
P0194,-3.996,1.852,0.797,starboard,sample,true,fictional_unit
P0195,-3.996,-1.768,1.045,port,sample,true,fictional_unit
P0196,-3.989,1.766,1.056,starboard,sample,true,fictional_unit
P0197,-4.014,-1.657,1.31,port,sample,true,fictional_unit
P0198,-4,1.656,1.32,starboard,sample,true,fictional_unit
P0199,-4,-1.523,1.582,port,sample,true,fictional_unit
P0200,-4.002,1.514,1.569,starboard,sample,true,fictional_unit
P0201,-3.996,-1.345,1.829,port,sample,true,fictional_unit
P0202,-3.992,1.345,1.826,starboard,sample,true,fictional_unit
P0203,-3.992,-1.12,2.099,port,sample,true,fictional_unit
P0204,-4.014,1.119,2.093,starboard,sample,true,fictional_unit
P0205,-3.604,-1.418,-2.105,port,sample,true,fictional_unit
P0206,-3.604,1.418,-2.104,starboard,sample,true,fictional_unit
P0207,-3.6,-1.611,-1.844,port,sample,true,fictional_unit
P0208,-3.587,1.595,-1.844,starboard,sample,true,fictional_unit
P0209,-3.588,-1.759,-1.585,port,sample,true,fictional_unit
P0210,-3.586,1.757,-1.578,starboard,sample,true,fictional_unit
P0211,-3.588,-1.871,-1.316,port,sample,true,fictional_unit
P0212,-3.6,1.866,-1.316,starboard,sample,true,fictional_unit
P0213,-3.599,-1.948,-1.042,port,sample,true,fictional_unit
P0214,-3.61,1.952,-1.054,starboard,sample,true,fictional_unit
P0215,-3.61,-2.005,-0.791,port,sample,true,fictional_unit
P0216,-3.597,2.021,-0.787,starboard,sample,true,fictional_unit
P0217,-3.597,-2.051,-0.515,port,sample,true,fictional_unit
P0218,-3.613,2.044,-0.517,starboard,sample,true,fictional_unit
P0219,-3.609,-2.081,-0.259,port,sample,true,fictional_unit
P0220,-3.588,2.077,-0.272,starboard,sample,true,fictional_unit
P0221,-3.59,-2.081,-0.009,port,sample,true,fictional_unit
P0222,-3.589,2.078,0.003,starboard,sample,true,fictional_unit
P0223,-3.592,-2.063,0.274,port,sample,true,fictional_unit
P0224,-3.612,2.045,0.257,starboard,sample,true,fictional_unit
P0225,-3.592,-2.013,0.522,port,sample,true,fictional_unit
P0226,-3.605,2.013,0.515,starboard,sample,true,fictional_unit
P0227,-3.614,-1.961,0.796,port,sample,true,fictional_unit
P0228,-3.59,1.958,0.778,starboard,sample,true,fictional_unit
P0229,-3.59,-1.87,1.041,port,sample,true,fictional_unit
P0230,-3.59,1.861,1.055,starboard,sample,true,fictional_unit
P0231,-3.595,-1.753,1.305,port,sample,true,fictional_unit
P0232,-3.612,1.761,1.323,starboard,sample,true,fictional_unit
P0233,-3.614,-1.612,1.586,port,sample,true,fictional_unit
P0234,-3.598,1.615,1.572,starboard,sample,true,fictional_unit
P0235,-3.605,-1.439,1.844,port,sample,true,fictional_unit
P0236,-3.588,1.433,1.845,starboard,sample,true,fictional_unit
P0237,-3.595,-1.174,2.103,port,sample,true,fictional_unit
P0238,-3.61,1.177,2.107,starboard,sample,true,fictional_unit
P0239,-3.202,-1.485,-2.108,port,sample,true,fictional_unit
P0240,-3.203,1.477,-2.09,starboard,sample,true,fictional_unit
P0241,-3.203,-1.671,-1.831,port,sample,true,fictional_unit
P0242,-3.209,1.688,-1.834,starboard,sample,true,fictional_unit
P0243,-3.187,-1.829,-1.581,port,sample,true,fictional_unit
P0244,-3.202,1.824,-1.579,starboard,sample,true,fictional_unit
P0245,-3.205,-1.961,-1.301,port,sample,true,fictional_unit
P0246,-3.191,1.953,-1.312,starboard,sample,true,fictional_unit
P0247,-3.188,-2.041,-1.05,port,sample,true,fictional_unit
P0248,-3.202,2.037,-1.051,starboard,sample,true,fictional_unit
P0249,-3.188,-2.113,-0.778,port,sample,true,fictional_unit
P0250,-3.205,2.113,-0.776,starboard,sample,true,fictional_unit
P0251,-3.195,-2.151,-0.52,port,sample,true,fictional_unit
P0252,-3.205,2.159,-0.531,starboard,sample,true,fictional_unit
P0253,-3.205,-2.165,-0.252,port,sample,true,fictional_unit
P0254,-3.211,2.165,-0.259,starboard,sample,true,fictional_unit
P0255,-3.206,-2.176,0.001,port,sample,true,fictional_unit
P0256,-3.208,2.174,0.003,starboard,sample,true,fictional_unit
P0257,-3.206,-2.152,0.274,port,sample,true,fictional_unit
P0258,-3.195,2.153,0.271,starboard,sample,true,fictional_unit
P0259,-3.197,-2.123,0.526,port,sample,true,fictional_unit
P0260,-3.213,2.122,0.531,starboard,sample,true,fictional_unit
P0261,-3.199,-2.045,0.776,port,sample,true,fictional_unit
P0262,-3.204,2.057,0.796,starboard,sample,true,fictional_unit
P0263,-3.196,-1.957,1.05,port,sample,true,fictional_unit
P0264,-3.19,1.963,1.062,starboard,sample,true,fictional_unit
P0265,-3.203,-1.848,1.306,port,sample,true,fictional_unit
P0266,-3.205,1.839,1.302,starboard,sample,true,fictional_unit
P0267,-3.189,-1.696,1.582,port,sample,true,fictional_unit
P0268,-3.2,1.694,1.564,starboard,sample,true,fictional_unit
P0269,-3.192,-1.502,1.841,port,sample,true,fictional_unit
P0270,-3.208,1.505,1.835,starboard,sample,true,fictional_unit
P0271,-3.202,-1.246,2.104,port,sample,true,fictional_unit
P0272,-3.2,1.245,2.108,starboard,sample,true,fictional_unit
P0273,-2.789,-1.54,-2.104,port,sample,true,fictional_unit
P0274,-2.81,1.529,-2.099,starboard,sample,true,fictional_unit
P0275,-2.794,-1.741,-1.839,port,sample,true,fictional_unit
P0276,-2.803,1.751,-1.83,starboard,sample,true,fictional_unit
P0277,-2.795,-1.898,-1.58,port,sample,true,fictional_unit
P0278,-2.798,1.898,-1.57,starboard,sample,true,fictional_unit
P0279,-2.803,-2.026,-1.303,port,sample,true,fictional_unit
P0280,-2.812,2.035,-1.31,starboard,sample,true,fictional_unit
P0281,-2.804,-2.12,-1.046,port,sample,true,fictional_unit
P0282,-2.789,2.117,-1.043,starboard,sample,true,fictional_unit
P0283,-2.812,-2.196,-0.782,port,sample,true,fictional_unit
P0284,-2.809,2.182,-0.784,starboard,sample,true,fictional_unit
P0285,-2.811,-2.233,-0.527,port,sample,true,fictional_unit
P0286,-2.788,2.244,-0.514,starboard,sample,true,fictional_unit
P0287,-2.798,-2.267,-0.252,port,sample,true,fictional_unit
P0288,-2.793,2.25,-0.269,starboard,sample,true,fictional_unit
P0289,-2.803,-2.265,0.01,port,sample,true,fictional_unit
P0290,-2.809,2.265,-0.01,starboard,sample,true,fictional_unit
P0291,-2.814,-2.238,0.274,port,sample,true,fictional_unit
P0292,-2.787,2.236,0.255,starboard,sample,true,fictional_unit
P0293,-2.811,-2.19,0.536,port,sample,true,fictional_unit
P0294,-2.787,2.189,0.521,starboard,sample,true,fictional_unit
P0295,-2.786,-2.135,0.794,port,sample,true,fictional_unit
P0296,-2.791,2.124,0.793,starboard,sample,true,fictional_unit
P0297,-2.799,-2.038,1.054,port,sample,true,fictional_unit
P0298,-2.788,2.046,1.06,starboard,sample,true,fictional_unit
P0299,-2.804,-1.923,1.307,port,sample,true,fictional_unit
P0300,-2.813,1.915,1.302,starboard,sample,true,fictional_unit
P0301,-2.796,-1.766,1.582,port,sample,true,fictional_unit
P0302,-2.789,1.77,1.57,starboard,sample,true,fictional_unit
P0303,-2.81,-1.556,1.842,port,sample,true,fictional_unit
P0304,-2.788,1.56,1.839,starboard,sample,true,fictional_unit
P0305,-2.801,-1.282,2.11,port,sample,true,fictional_unit
P0306,-2.793,1.293,2.094,starboard,sample,true,fictional_unit
P0307,-2.414,-1.579,-2.103,port,sample,true,fictional_unit
P0308,-2.39,1.583,-2.094,starboard,sample,true,fictional_unit
P0309,-2.406,-1.798,-1.833,port,sample,true,fictional_unit
P0310,-2.406,1.81,-1.849,starboard,sample,true,fictional_unit
P0311,-2.407,-1.971,-1.569,port,sample,true,fictional_unit
P0312,-2.391,1.956,-1.566,starboard,sample,true,fictional_unit
P0313,-2.401,-2.093,-1.311,port,sample,true,fictional_unit
P0314,-2.405,2.095,-1.32,starboard,sample,true,fictional_unit
P0315,-2.409,-2.184,-1.057,port,sample,true,fictional_unit
P0316,-2.389,2.188,-1.052,starboard,sample,true,fictional_unit
P0317,-2.396,-2.257,-0.799,port,sample,true,fictional_unit
P0318,-2.396,2.252,-0.781,starboard,sample,true,fictional_unit
P0319,-2.403,-2.301,-0.537,port,sample,true,fictional_unit
P0320,-2.394,2.301,-0.527,starboard,sample,true,fictional_unit
P0321,-2.396,-2.332,-0.261,port,sample,true,fictional_unit
P0322,-2.392,2.337,-0.272,starboard,sample,true,fictional_unit
P0323,-2.401,-2.338,0,port,sample,true,fictional_unit
P0324,-2.392,2.329,0.002,starboard,sample,true,fictional_unit
P0325,-2.388,-2.308,0.253,port,sample,true,fictional_unit
P0326,-2.403,2.305,0.265,starboard,sample,true,fictional_unit
P0327,-2.397,-2.261,0.527,port,sample,true,fictional_unit
P0328,-2.399,2.262,0.517,starboard,sample,true,fictional_unit
P0329,-2.395,-2.205,0.784,port,sample,true,fictional_unit
P0330,-2.412,2.188,0.786,starboard,sample,true,fictional_unit
P0331,-2.405,-2.111,1.059,port,sample,true,fictional_unit
P0332,-2.407,2.105,1.054,starboard,sample,true,fictional_unit
P0333,-2.39,-1.984,1.315,port,sample,true,fictional_unit
P0334,-2.408,1.969,1.321,starboard,sample,true,fictional_unit
P0335,-2.404,-1.82,1.564,port,sample,true,fictional_unit
P0336,-2.395,1.816,1.575,starboard,sample,true,fictional_unit
P0337,-2.403,-1.615,1.835,port,sample,true,fictional_unit
P0338,-2.407,1.615,1.849,starboard,sample,true,fictional_unit
P0339,-2.397,-1.324,2.092,port,sample,true,fictional_unit
P0340,-2.395,1.331,2.101,starboard,sample,true,fictional_unit
P0341,-2.007,-1.617,-2.104,port,sample,true,fictional_unit
P0342,-2.012,1.619,-2.099,starboard,sample,true,fictional_unit
P0343,-2.011,-1.85,-1.842,port,sample,true,fictional_unit
P0344,-2.005,1.855,-1.827,starboard,sample,true,fictional_unit
P0345,-2.003,-2.019,-1.568,port,sample,true,fictional_unit
P0346,-1.999,2.005,-1.569,starboard,sample,true,fictional_unit
P0347,-1.995,-2.147,-1.305,port,sample,true,fictional_unit
P0348,-2.001,2.141,-1.312,starboard,sample,true,fictional_unit
P0349,-2.013,-2.245,-1.06,port,sample,true,fictional_unit
P0350,-2.012,2.251,-1.049,starboard,sample,true,fictional_unit
P0351,-2.007,-2.32,-0.784,port,sample,true,fictional_unit
P0352,-1.996,2.31,-0.799,starboard,sample,true,fictional_unit
P0353,-1.993,-2.372,-0.519,port,sample,true,fictional_unit
P0354,-1.996,2.357,-0.516,starboard,sample,true,fictional_unit
P0355,-2.01,-2.382,-0.256,port,sample,true,fictional_unit
P0356,-2.005,2.392,-0.268,starboard,sample,true,fictional_unit
P0357,-1.995,-2.387,-0.011,port,sample,true,fictional_unit
P0358,-1.99,2.386,0.007,starboard,sample,true,fictional_unit
P0359,-2.011,-2.377,0.262,port,sample,true,fictional_unit
P0360,-1.992,2.367,0.265,starboard,sample,true,fictional_unit
P0361,-1.99,-2.324,0.524,port,sample,true,fictional_unit
P0362,-2.013,2.315,0.531,starboard,sample,true,fictional_unit
P0363,-1.996,-2.262,0.793,port,sample,true,fictional_unit
P0364,-2.001,2.26,0.78,starboard,sample,true,fictional_unit
P0365,-2.002,-2.152,1.054,port,sample,true,fictional_unit
P0366,-1.991,2.153,1.058,starboard,sample,true,fictional_unit
P0367,-2.005,-2.025,1.316,port,sample,true,fictional_unit
P0368,-1.996,2.031,1.312,starboard,sample,true,fictional_unit
P0369,-1.999,-1.86,1.566,port,sample,true,fictional_unit
P0370,-2.002,1.857,1.587,starboard,sample,true,fictional_unit
P0371,-2.006,-1.638,1.828,port,sample,true,fictional_unit
P0372,-1.996,1.648,1.844,starboard,sample,true,fictional_unit
P0373,-2.007,-1.357,2.105,port,sample,true,fictional_unit
P0374,-2.008,1.352,2.096,starboard,sample,true,fictional_unit
P0375,-1.593,-1.661,-2.11,port,sample,true,fictional_unit
P0376,-1.599,1.66,-2.098,starboard,sample,true,fictional_unit
P0377,-1.588,-1.879,-1.849,port,sample,true,fictional_unit
P0378,-1.59,1.873,-1.848,starboard,sample,true,fictional_unit
P0379,-1.591,-2.055,-1.571,port,sample,true,fictional_unit
P0380,-1.613,2.055,-1.579,starboard,sample,true,fictional_unit
P0381,-1.59,-2.179,-1.324,port,sample,true,fictional_unit
P0382,-1.606,2.188,-1.31,starboard,sample,true,fictional_unit
P0383,-1.603,-2.284,-1.054,port,sample,true,fictional_unit
P0384,-1.594,2.281,-1.058,starboard,sample,true,fictional_unit
P0385,-1.597,-2.36,-0.799,port,sample,true,fictional_unit
P0386,-1.588,2.372,-0.793,starboard,sample,true,fictional_unit
P0387,-1.612,-2.421,-0.529,port,sample,true,fictional_unit
P0388,-1.598,2.407,-0.527,starboard,sample,true,fictional_unit
P0389,-1.603,-2.433,-0.258,port,sample,true,fictional_unit
P0390,-1.613,2.438,-0.257,starboard,sample,true,fictional_unit
P0391,-1.588,-2.43,-0.004,port,sample,true,fictional_unit
P0392,-1.587,2.438,-0.011,starboard,sample,true,fictional_unit
P0393,-1.589,-2.415,0.267,port,sample,true,fictional_unit
P0394,-1.611,2.406,0.272,starboard,sample,true,fictional_unit
P0395,-1.607,-2.366,0.536,port,sample,true,fictional_unit
P0396,-1.589,2.365,0.537,starboard,sample,true,fictional_unit
P0397,-1.593,-2.291,0.784,port,sample,true,fictional_unit
P0398,-1.593,2.297,0.788,starboard,sample,true,fictional_unit
P0399,-1.599,-2.206,1.045,port,sample,true,fictional_unit
P0400,-1.601,2.196,1.041,starboard,sample,true,fictional_unit
P0401,-1.606,-2.064,1.303,port,sample,true,fictional_unit
P0402,-1.598,2.077,1.318,starboard,sample,true,fictional_unit
P0403,-1.613,-1.891,1.583,port,sample,true,fictional_unit
P0404,-1.59,1.903,1.578,starboard,sample,true,fictional_unit
P0405,-1.591,-1.671,1.843,port,sample,true,fictional_unit
P0406,-1.593,1.678,1.838,starboard,sample,true,fictional_unit
P0407,-1.595,-1.391,2.098,port,sample,true,fictional_unit
P0408,-1.612,1.388,2.089,starboard,sample,true,fictional_unit
P0409,-1.197,-1.691,-2.095,port,sample,true,fictional_unit
P0410,-1.202,1.692,-2.102,starboard,sample,true,fictional_unit
P0411,-1.198,-1.907,-1.849,port,sample,true,fictional_unit
P0412,-1.212,1.9,-1.838,starboard,sample,true,fictional_unit
P0413,-1.194,-2.091,-1.565,port,sample,true,fictional_unit
P0414,-1.202,2.091,-1.575,starboard,sample,true,fictional_unit
P0415,-1.211,-2.215,-1.311,port,sample,true,fictional_unit
P0416,-1.206,2.224,-1.314,starboard,sample,true,fictional_unit
P0417,-1.197,-2.325,-1.044,port,sample,true,fictional_unit
P0418,-1.196,2.322,-1.053,starboard,sample,true,fictional_unit
P0419,-1.205,-2.406,-0.777,port,sample,true,fictional_unit
P0420,-1.203,2.403,-0.787,starboard,sample,true,fictional_unit
P0421,-1.208,-2.439,-0.525,port,sample,true,fictional_unit
P0422,-1.206,2.444,-0.534,starboard,sample,true,fictional_unit
